INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212000560,3006,,SICK/INJURED/MEDICAL - PERSON,D4,628,0,2021-01-03 14:50:00,2021,1,Sunday,14,,BROOKLINE AVE,42.3457334994074,-71.1000809201386,"(42.3457334994074, -71.1000809201386)"
212008225,520,,BURGLARY - RESIDENTIAL,A1,81,0,2021-02-07 11:55:00,2021,2,Sunday,11,,HULL ST,42.367218228652,-71.0567669546478,"(42.367218228652, -71.0567669546478)"
212017480,1415,,GRAFFITI,D4,167,0,2021-03-11 00:00:00,2021,3,Thursday,0,,SHAWMUT AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212037518,3114,,INVESTIGATE PROPERTY,C11,402,0,2021-06-05 21:15:00,2021,6,Saturday,21,,BAILEY ST,42.2846656809417,-71.0660218780472,"(42.2846656809417, -71.0660218780472)"
212020911,801,,ASSAULT - SIMPLE,B2, ,0,2021-04-01 20:46:00,2021,4,Thursday,20,,"BLUE HILLS AVE & SOUTHWOOD
BOSTON  MA 02119
UNITED",42.3177300342006,-71.0779250483401,"(42.3177300342006, -71.0779250483401)"
212022927,423,,ASSAULT - AGGRAVATED,C11,355,0,2021-04-09 20:49:00,2021,4,Friday,20,,WASHINGTON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212019890,1402,,VANDALISM,B3,444,0,2021-03-28 17:30:00,2021,3,Sunday,17,,WALES ST,42.297520972793,-71.0850229144802,"(42.297520972793, -71.0850229144802)"
212036691,801,,ASSAULT - SIMPLE,E13,912,0,2021-06-02 20:51:00,2021,6,Wednesday,20,,CENTRE ST,42.32283758703,-71.1009672251263,"(42.32283758703, -71.1009672251263)"
212020508,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,C11,349,0,2021-03-31 11:49:00,2021,3,Wednesday,11,,DORCHESTER AVE,42.302542387716,-71.0595669012164,"(42.302542387716, -71.0595669012164)"
212005812,3018,,SICK/INJURED/MEDICAL - POLICE,A1,77,0,2021-01-27 07:50:00,2021,1,Wednesday,7,,NEW SUDBURY ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212033601,423,,ASSAULT - AGGRAVATED,B3, ,0,2021-05-22 04:00:00,2021,5,Saturday,4,,BLUE HILL AVE,42.2927884243387,-71.0885188795919,"(42.2927884243387, -71.0885188795919)"
212033135,3005,,SICK ASSIST,C6, ,0,2021-05-20 13:49:00,2021,5,Thursday,13,,MASSACHUSETTS AVE,42.3265356414304,-71.0666597065587,"(42.3265356414304, -71.0666597065587)"
212007169,724,,AUTO THEFT,,282,0,2021-02-02 20:20:00,2021,2,Tuesday,20,,"2400 WASHINGTON ST
ROXBURY  MA 02119
UNITED STATES",42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212037748,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,578,0,2021-06-05 17:00:00,2021,6,Saturday,17,,WYMAN ST,42.3194295020428,-71.1042857651717,"(42.3194295020428, -71.1042857651717)"
212035734,1402,,VANDALISM,B2,296,0,2021-05-30 02:13:00,2021,5,Sunday,2,,WARREN ST,42.3222164525887,-71.0820672272945,"(42.3222164525887, -71.0820672272945)"
212031161,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,C6,175,0,2021-05-13 08:07:00,2021,5,Thursday,8,,,42.331897957787,-71.0690820419121,"(42.331897957787, -71.0690820419121)"
212011634,3005,,SICK ASSIST,D4,172,0,2021-02-22 17:25:00,2021,2,Monday,17,,ALBANY ST,42.333184490912,-71.0739388100238,"(42.333184490912, -71.0739388100238)"
212007255,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,396,0,2021-02-03 10:01:00,2021,2,Wednesday,10,,MELBOURNE ST,42.2910928734076,-71.0659453903574,"(42.2910928734076, -71.0659453903574)"
212007733,2610,,TRESPASSING,E13,571,0,2021-02-05 08:50:00,2021,2,Friday,8,,SIGOURNEY ST,42.3089222650545,-71.0998699109351,"(42.3089222650545, -71.0998699109351)"
212013369,3115,,INVESTIGATE PERSON,D14,815,0,2021-03-02 00:35:00,2021,3,Tuesday,0,,N HARVARD ST,42.3615141663016,-71.1301962920053,"(42.3615141663016, -71.1301962920053)"
212003778,801,,ASSAULT - SIMPLE,D4,167,0,2021-01-13 12:00:00,2021,1,Wednesday,12,,HARRISON AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212036472,801,,ASSAULT - SIMPLE,A1,123,0,2021-06-02 03:43:00,2021,6,Wednesday,3,,WASHINGTON ST,42.3499725621905,-71.0634881686036,"(42.3499725621905, -71.0634881686036)"
212016631,3201,,PROPERTY - LOST/ MISSING,D4,903,0,2021-03-11 13:08:00,2021,3,Thursday,13,,DITMUS CT,42.3370024754262,-71.0822758075087,"(42.3370024754262, -71.0822758075087)"
212001784,3006,,SICK/INJURED/MEDICAL - PERSON,E13,582,0,2021-01-08 20:54:00,2021,1,Friday,20,,WALDEN ST,42.3238770325554,-71.1040926866831,"(42.3238770325554, -71.1040926866831)"
212009876,3115,,INVESTIGATE PERSON,E13,307,0,2021-02-14 17:57:00,2021,2,Sunday,17,,WALNUT PARK,42.3145147893852,-71.0947082029948,"(42.3145147893852, -71.0947082029948)"
212018451,617,,LARCENY THEFT FROM BUILDING,A1,75,0,2021-03-23 01:59:00,2021,3,Tuesday,1,,CAUSEWAY ST,42.3643312555102,-71.0631931753533,"(42.3643312555102, -71.0631931753533)"
212042455,3410,,TOWED MOTOR VEHICLE,D4,168,0,2021-06-23 10:53:00,2021,6,Wednesday,10,,E NEWTON ST,42.3379427431525,-71.0725012567005,"(42.3379427431525, -71.0725012567005)"
212016667,616,,LARCENY THEFT OF BICYCLE,A1,111,0,2021-03-15 16:30:00,2021,3,Monday,16,,TEMPLE PL,42.3552142873226,-71.0620635090966,"(42.3552142873226, -71.0620635090966)"
212029976,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,622,0,2021-05-07 15:30:00,2021,5,Friday,15,,BAY STATE RD,42.3500248464588,-71.0964632056777,"(42.3500248464588, -71.0964632056777)"
212038575,3201,,PROPERTY - LOST/ MISSING,D14,778,0,2021-04-15 00:00:00,2021,4,Thursday,0,,WASHINGTON ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
212038054,3006,,SICK/INJURED/MEDICAL - PERSON,E5,822,0,2021-06-07 16:56:00,2021,6,Monday,16,,GEORGETOWNE DR,42.2594346524827,-71.1479806361386,"(42.2594346524827, -71.1479806361386)"
212020624,3207,,PROPERTY - FOUND,E13,574,0,2021-03-31 00:00:00,2021,3,Wednesday,0,,WASHINGTON ST,42.3097185676727,-71.1042943178765,"(42.3097185676727, -71.1042943178765)"
212003532,724,,AUTO THEFT,B3,465,0,2021-01-16 18:30:00,2021,1,Saturday,18,,ERIE ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
212012708,2907,,VAL - OPERATING AFTER REV/SUSP.,B3, ,0,2021-02-27 01:26:00,2021,2,Saturday,1,,MORTON ST,42.280984272707,-71.0852826709499,"(42.280984272707, -71.0852826709499)"
212037461,1402,,VANDALISM,C11,340,0,2021-06-04 21:50:00,2021,6,Friday,21,,DRAPER ST,42.3054071480068,-71.0654713515291,"(42.3054071480068, -71.0654713515291)"
212031570,619,,LARCENY ALL OTHERS,B3,473,0,2021-05-14 18:39:00,2021,5,Friday,18,,HEBRON ST,42.2755404340674,-71.1048096488294,"(42.2755404340674, -71.1048096488294)"
212022983,3801,,M/V ACCIDENT - OTHER,D4,149,0,2021-04-10 07:44:00,2021,4,Saturday,7,,COLUMBUS AVE,42.343476981976,-71.0782274740006,"(42.343476981976, -71.0782274740006)"
212041383,617,,LARCENY THEFT FROM BUILDING,B2,282,0,2021-06-19 01:00:00,2021,6,Saturday,1,,WASHINGTON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212001730,3007,,SUDDEN DEATH,B2,319,0,2021-01-08 17:14:00,2021,1,Friday,17,,CHENEY ST,42.309700155938,-71.085824141534,"(42.309700155938, -71.085824141534)"
212034948,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,449,0,2021-05-27 06:00:00,2021,5,Thursday,6,,SPENCER STREET,0.0,0.0,"(0, 0)"
212057547,3115,,INVESTIGATE PERSON,C6,206,0,2021-02-04 00:00:00,2021,2,Thursday,0,,SEAPORT BLVD,42.3519645134285,-71.0461129109746,"(42.3519645134285, -71.0461129109746)"
212018055,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,520,0,2021-03-18 16:00:00,2021,3,Thursday,16,,MONPONSET ST,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212038174,3005,,SICK ASSIST,C11,355,0,2021-06-08 02:15:00,2021,6,Tuesday,2,,PARK ST,42.2987843785075,-71.0601199756145,"(42.2987843785075, -71.0601199756145)"
212009420,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,465,0,2021-02-11 07:00:00,2021,2,Thursday,7,,BLUE HILL AVE,0.0,0.0,"(0, 0)"
212042350,301,,ROBBERY,D14,754,0,2021-06-22 19:32:00,2021,6,Tuesday,19,,TREMONT STREET,0.0,0.0,"(0, 0)"
212013338,3410,,TOWED MOTOR VEHICLE,D14,765,0,2021-03-01 20:05:00,2021,3,Monday,20,,DONNYBROOK RD,42.3543993319609,-71.1600681082663,"(42.3543993319609, -71.1600681082663)"
212042230,617,,LARCENY THEFT FROM BUILDING,E5,822,0,2021-06-22 13:00:00,2021,6,Tuesday,13,,WASHINGTON ST,42.2653365007024,-71.152599000617,"(42.2653365007024, -71.152599000617)"
212034861,3115,,INVESTIGATE PERSON,D4, ,0,2021-05-26 17:00:00,2021,5,Wednesday,17,,,42.3326100230903,-71.07226997004,"(42.3326100230903, -71.07226997004)"
212025288,3801,,M/V ACCIDENT - OTHER,C11,357,0,2021-04-19 17:55:00,2021,4,Monday,17,,BOWDOIN ST,42.2998347205183,-71.0724346201351,"(42.2998347205183, -71.0724346201351)"
212027587,3115,,INVESTIGATE PERSON,C6,915,0,2021-04-28 20:33:00,2021,4,Wednesday,20,,OLD HARBOR ST,42.3308437624457,-71.0474090810832,"(42.3308437624457, -71.0474090810832)"
212029166,3201,,PROPERTY - LOST/ MISSING,D14,778,0,2021-04-01 12:00:00,2021,4,Thursday,12,,WASHINGTON ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
212039125,3801,,M/V ACCIDENT - OTHER,C11,335,0,2021-06-11 16:23:00,2021,6,Friday,16,,BOWDOIN ST,42.3064802601339,-71.0667578307833,"(42.3064802601339, -71.0667578307833)"
212004866,3115,,INVESTIGATE PERSON,E13,316,0,2021-01-23 09:34:00,2021,1,Saturday,9,,WALNUT AVE,42.314304694898,-71.0939134818,"(42.314304694898, -71.0939134818)"
212008037,3410,,TOWED MOTOR VEHICLE,E18, ,0,2021-02-06 13:05:00,2021,2,Saturday,13,,"NAVARRE ST & CANTERBURY ST
BOSTON  MA 02131
UNITED",42.2784929776854,-71.1180400484217,"(42.2784929776854, -71.1180400484217)"
212019002,3115,,INVESTIGATE PERSON,B3,465,0,2021-03-25 10:50:00,2021,3,Thursday,10,,STANDISH ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
212038945,2610,,TRESPASSING,D4,624,0,2021-06-10 22:11:00,2021,6,Thursday,22,,JERSEY STREET,0.0,0.0,"(0, 0)"
212037780,3007,,SUDDEN DEATH,D14,751,0,2021-06-06 18:15:00,2021,6,Sunday,18,,KENRICK ST,42.346395682662,-71.1634676874211,"(42.346395682662, -71.1634676874211)"
212034656,727,,AUTO THEFT - LEASED/RENTED VEHICLE,A1,77,0,2021-05-09 10:06:00,2021,5,Sunday,10,,SUDBURY ST,0.0,0.0,"(0, 0)"
212010539,1402,,VANDALISM,A7,28,0,2021-02-17 07:00:00,2021,2,Wednesday,7,,"69 PARIS ST
EAST BOSTON  MA 02128
UNITED STATES",42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)"
212024651,3115,,INVESTIGATE PERSON,D4,158,0,2021-04-16 18:48:00,2021,4,Friday,18,,TREMONT ST,42.3425872731036,-71.0742003989588,"(42.3425872731036, -71.0742003989588)"
212008499,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11, ,0,2021-02-08 15:35:00,2021,2,Monday,15,,"DORCHESTER AVE & BAY ST
DORCHESTER  MA 02125
UNITE",42.311344040499,-71.0575800386961,"(42.311344040499, -71.0575800386961)"
212032597,617,,LARCENY THEFT FROM BUILDING,D4,271,0,2021-05-18 11:45:00,2021,5,Tuesday,11,,WASHINGTON ST,42.3353740984913,-71.0783156023399,"(42.3353740984913, -71.0783156023399)"
212001476,1107,,FRAUD - IMPERSONATION,B3,465,0,2021-01-07 11:45:00,2021,1,Thursday,11,,HAZLETON ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
212040578,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,67,0,2021-06-14 12:00:00,2021,6,Monday,12,,MYRTLE ST,42.3140846057678,-71.116279294339,"(42.3140846057678, -71.116279294339)"
212042463,617,,LARCENY THEFT FROM BUILDING,C11,363,0,2021-06-22 07:30:00,2021,6,Tuesday,7,,CENTRE ST,42.294265950315,-71.0596848698717,"(42.294265950315, -71.0596848698717)"
212002484,3502,,MISSING PERSON - LOCATED,B2, ,0,2021-01-12 10:29:00,2021,1,Tuesday,10,,CEDAR ST,42.3265548437889,-71.0921928790987,"(42.3265548437889, -71.0921928790987)"
212008381,3115,,INVESTIGATE PERSON,C11,370,0,2021-02-08 05:11:00,2021,2,Monday,5,,WILLIAM T MORRISSEY BLVD,42.2976727934234,-71.0494101763903,"(42.2976727934234, -71.0494101763903)"
212003286,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,C11,355,0,2021-01-14 00:00:00,2021,1,Thursday,0,,MCKONE ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212018049,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,,183,0,2021-03-12 12:30:00,2021,3,Friday,12,,DUDLEY ST,42.3210416905708,-71.072152907228,"(42.3210416905708, -71.072152907228)"
212033627,1402,,VANDALISM,D4,619,0,2021-05-22 07:43:00,2021,5,Saturday,7,,MASSACHUSETTS AVE,42.3443956841544,-71.0863201634481,"(42.3443956841544, -71.0863201634481)"
212016165,3801,,M/V ACCIDENT - OTHER,B3,355,0,2021-03-13 18:42:00,2021,3,Saturday,18,,EVANS ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212036170,3115,,INVESTIGATE PERSON,,607,0,2021-06-01 03:31:00,2021,6,Tuesday,3,,GROTTO GLEN RD,42.3256318318376,-71.1084535939146,"(42.3256318318376, -71.1084535939146)"
212031804,801,,ASSAULT - SIMPLE,B2,268,0,2021-05-15 18:17:00,2021,5,Saturday,18,,,42.3287399672214,-71.0762439903502,"(42.3287399672214, -71.0762439903502)"
212027865,1402,,VANDALISM,C6,282,0,2021-04-29 19:30:00,2021,4,Thursday,19,,"2400 WASHINGTON ST
ROXBURY  MA 02119
UNITED STATES",42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212028757,617,,LARCENY THEFT FROM BUILDING,C11,462,0,2021-05-03 17:21:00,2021,5,Monday,17,,BULLARD ST,42.3017585271616,-71.0746297975059,"(42.3017585271616, -71.0746297975059)"
212015398,1832,,SICK ASSIST - DRUG RELATED ILLNESS,A7,7,0,2021-03-10 19:05:00,2021,3,Wednesday,19,,BENNINGTON ST,42.3880675371277,-71.0019438790757,"(42.3880675371277, -71.0019438790757)"
212035189,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,A7,20,0,2021-05-27 18:30:00,2021,5,Thursday,18,,MORRIS ST,42.3767094642074,-71.0317621115976,"(42.3767094642074, -71.0317621115976)"
212000787,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,E5,691,0,2021-01-03 16:00:00,2021,1,Sunday,16,,BELLEVUE ST,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
212024659,2647,,THREATS TO DO BODILY HARM,C6,20,0,2021-04-15 22:00:00,2021,4,Thursday,22,,NORTHERN AVE,42.3763832611279,-71.0312410342379,"(42.3763832611279, -71.0312410342379)"
212014037,3111,,LICENSE PREMISE VIOLATION,A1,100,0,2021-03-04 21:41:00,2021,3,Thursday,21,,BROAD ST,42.3575560087439,-71.0529915586944,"(42.3575560087439, -71.0529915586944)"
212015727,1402,,VANDALISM,B3,466,0,2021-03-12 05:05:00,2021,3,Friday,5,,ORMOND ST,42.2829511618706,-71.0937754166243,"(42.2829511618706, -71.0937754166243)"
212025964,3115,,INVESTIGATE PERSON,C11,364,0,2021-04-22 13:43:00,2021,4,Thursday,13,,ALTHEA ST,42.2939595821831,-71.0590059737149,"(42.2939595821831, -71.0590059737149)"
212005685,1300,,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,D14,806,0,2021-01-26 00:00:00,2021,1,Tuesday,0,,WESTERN AVE,42.3615376218337,-71.1455124702062,"(42.3615376218337, -71.1455124702062)"
212041051,3005,,SICK ASSIST,B2,318,0,2021-06-18 10:31:00,2021,6,Friday,10,,HUTCHINGS ST,42.3102689103549,-71.0893105505809,"(42.3102689103549, -71.0893105505809)"
212030897,1415,,GRAFFITI,A1,99,0,2021-05-12 06:59:00,2021,5,Wednesday,6,,CONGRESS ST,42.3578952989697,-71.0564854186708,"(42.3578952989697, -71.0564854186708)"
212018721,3803,,M/V ACCIDENT - PERSONAL INJURY,D14,771,0,2021-03-24 07:25:00,2021,3,Wednesday,7,,"PARSONS ST & WASHINGTON ST
BRIGHTON  MA 02135
UNIT",42.3490689908727,-71.1557869995662,"(42.3490689908727, -71.1557869995662)"
212016455,3018,,SICK/INJURED/MEDICAL - POLICE,C11,257,0,2021-03-14 22:38:00,2021,3,Sunday,22,,HANCOCK ST,42.3104339974624,-71.0613400976213,"(42.3104339974624, -71.0613400976213)"
212034967,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2, ,0,2021-05-27 08:09:00,2021,5,Thursday,8,,,42.3329339989186,-71.0924049433507,"(42.3329339989186, -71.0924049433507)"
212038250,3803,,M/V ACCIDENT - PERSONAL INJURY,C11,395,0,2021-06-07 16:00:00,2021,6,Monday,16,,DORCHESTER AVE,42.2843981982829,-71.0646837328861,"(42.2843981982829, -71.0646837328861)"
212034726,3114,,INVESTIGATE PROPERTY,E18,520,0,2021-06-14 10:00:00,2021,6,Monday,10,,HYDE PARK AVE,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212011974,3410,,TOWED MOTOR VEHICLE,C6,200,0,2021-02-24 08:31:00,2021,2,Wednesday,8,,W BROADWAY,42.343025775084,-71.057280849827,"(42.343025775084, -71.057280849827)"
212015943,2647,,THREATS TO DO BODILY HARM,B3,428,0,2021-03-12 20:09:00,2021,3,Friday,20,,BLUE HILL AVE,42.28374568865,-71.0915358277835,"(42.28374568865, -71.0915358277835)"
212025570,2905,,VAL - VIOLATION OF AUTO LAW,E18,524,0,2021-04-20 20:54:00,2021,4,Tuesday,20,,VAN BRUNT ST,42.2428598350263,-71.1248990569455,"(42.2428598350263, -71.1248990569455)"
212018881,3115,,INVESTIGATE PERSON,B3,944,0,2021-03-24 17:38:00,2021,3,Wednesday,17,,STRATTON ST,42.2893309633206,-71.0835174188509,"(42.2893309633206, -71.0835174188509)"
212018138,1402,,VANDALISM,E5,563,0,2021-03-21 20:58:00,2021,3,Sunday,20,,HARRISON ST,42.2886285653025,-71.1200215656783,"(42.2886285653025, -71.1200215656783)"
212016186,1402,,VANDALISM,E13,303,0,2021-03-13 19:31:00,2021,3,Saturday,19,,BRAGDON ST,42.3192584365707,-71.10003221945,"(42.3192584365707, -71.10003221945)"
212037190,3005,,SICK ASSIST,A1,92,0,2021-06-04 17:53:00,2021,6,Friday,17,,COURT ST,42.3589227875108,-71.0583535444055,"(42.3589227875108, -71.0583535444055)"
212020958,3301,,VERBAL DISPUTE,A7,23,0,2021-04-02 00:05:00,2021,4,Friday,0,,LEXINGTON ST,42.3782677769994,-71.0360167702445,"(42.3782677769994, -71.0360167702445)"
212007972,3005,,SICK ASSIST,B3,470,0,2021-02-06 01:32:00,2021,2,Saturday,1,,ITASCA ST,42.2756092381204,-71.1003180823503,"(42.2756092381204, -71.1003180823503)"
212042524,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,2021-06-22 23:15:00,2021,6,Tuesday,23,,GIBSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212022731,3115,,INVESTIGATE PERSON,B3,434,0,2021-04-09 06:58:00,2021,4,Friday,6,,THETFORD AVE,42.2846599101962,-71.078399968595,"(42.2846599101962, -71.078399968595)"
212011671,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,236,0,2021-02-22 01:50:00,2021,2,Monday,1,,E COTTAGE ST,42.31853244978,-71.0577899816053,"(42.31853244978, -71.0577899816053)"
212018424,3115,,INVESTIGATE PERSON,,563,0,2021-03-22 21:29:00,2021,3,Monday,21,,FLORENCE ST,42.2873007487562,-71.121555822311,"(42.2873007487562, -71.121555822311)"
212016431,3005,,SICK ASSIST,D14,795,0,2021-03-14 21:15:00,2021,3,Sunday,21,,COMMONWEALTH AVE,42.3490073924895,-71.1386010757363,"(42.3490073924895, -71.1386010757363)"
212021350,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,167,0,2021-04-02 14:23:00,2021,4,Friday,14,,"650 HARRISON AVE
BOSTON  MA 02118
UNITED STATES",42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212020983,3005,,SICK ASSIST,B2,310,0,2021-04-02 07:26:00,2021,4,Friday,7,,HUMBOLDT CT,42.3183021893723,-71.0857535525869,"(42.3183021893723, -71.0857535525869)"
212032652,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E18, ,0,2021-05-18 20:49:00,2021,5,Tuesday,20,,,42.2636159842425,-71.103952034207,"(42.2636159842425, -71.103952034207)"
212028030,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,D4,156,0,2021-04-30 17:25:00,2021,4,Friday,17,,TREMONT ST,42.3394533925537,-71.0799248357064,"(42.3394533925537, -71.0799248357064)"
212003155,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D14,778,0,2021-01-15 08:00:00,2021,1,Friday,8,,GLENCOE ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
212013592,423,,ASSAULT - AGGRAVATED,E5, ,0,2021-03-02 21:46:00,2021,3,Tuesday,21,,"WASHINGTON ST & ARCHDALE RD
ROSLINDALE  MA 02131
U",42.292771954341,-71.1213899960878,"(42.292771954341, -71.1213899960878)"
212006189,617,,LARCENY THEFT FROM BUILDING,D14,783,0,2021-01-22 14:00:00,2021,1,Friday,14,,WARREN ST,42.3494644364639,-71.1427044905568,"(42.3494644364639, -71.1427044905568)"
212026426,3114,,INVESTIGATE PROPERTY,E5,691,0,2021-04-24 09:00:00,2021,4,Saturday,9,,CENTRE ST,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
212032589,2610,,TRESPASSING,A1,113,0,2021-05-18 17:33:00,2021,5,Tuesday,17,,CHAUNCY ST,42.3528511804031,-71.0609641149017,"(42.3528511804031, -71.0609641149017)"
212031130,3503,,MISSING PERSON - NOT REPORTED - LOCATED,E5,743,0,2021-05-12 19:50:00,2021,5,Wednesday,19,,PERHAM ST,42.2873675259213,-71.1695781771852,"(42.2873675259213, -71.1695781771852)"
212042025,3115,,INVESTIGATE PERSON,C6,200,0,2021-06-21 19:33:00,2021,6,Monday,19,,W BROADWAY,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
212004460,3115,,INVESTIGATE PERSON,A1,84,0,2021-01-21 11:28:00,2021,1,Thursday,11,,PRINCE ST,42.3647539195017,-71.0546954693875,"(42.3647539195017, -71.0546954693875)"
212017212,3201,,PROPERTY - LOST/ MISSING,E5,725,0,2021-03-16 14:00:00,2021,3,Tuesday,14,,SPRING VALLEY RD,0.0,0.0,"(0, 0)"
212005854,2907,,VAL - OPERATING AFTER REV/SUSP.,B3,430,0,2021-01-27 17:14:00,2021,1,Wednesday,17,,"BLUE HILL AVE & FRONTENAC ST
DORCHESTER  MA 02126
",42.2848080030743,-71.0911880448383,"(42.2848080030743, -71.0911880448383)"
212021891,3114,,INVESTIGATE PROPERTY,A1,88,0,2021-04-05 21:47:00,2021,4,Monday,21,,WEBSTER PL,42.3647625014192,-71.0529071746756,"(42.3647625014192, -71.0529071746756)"
212024353,1415,,GRAFFITI,D14,789,0,2021-04-15 14:31:00,2021,4,Thursday,14,,ENGLEWOOD AVE,42.3373214069639,-71.151483711377,"(42.3373214069639, -71.151483711377)"
212030807,3115,,INVESTIGATE PERSON,E5,719,0,2021-05-11 17:58:00,2021,5,Tuesday,17,,SUMMER ST,42.2755766256688,-71.1614155316443,"(42.2755766256688, -71.1614155316443)"
212002628,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11,355,0,2021-01-12 18:15:00,2021,1,Tuesday,18,,WALDECK ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212019152,2907,,VAL - OPERATING AFTER REV/SUSP.,E18, ,0,2021-03-25 18:57:00,2021,3,Thursday,18,,"WEST ST & AUSTIN ST
HYDE PARK  MA 02136
UNITED STA",42.263291008321,-71.1256479991177,"(42.263291008321, -71.1256479991177)"
212001565,724,,AUTO THEFT,E5,691,0,2021-01-07 22:30:00,2021,1,Thursday,22,,ANSONIA RD,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
212001522,617,,LARCENY THEFT FROM BUILDING,C11,355,0,2021-01-07 16:15:00,2021,1,Thursday,16,,GENEVA AVE,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212037306,3006,,SICK/INJURED/MEDICAL - PERSON,D4,162,0,2021-06-05 03:48:00,2021,6,Saturday,3,,ALBANY ST,42.3449158046805,-71.0616993820054,"(42.3449158046805, -71.0616993820054)"
212030822,617,,LARCENY THEFT FROM BUILDING,A1,77,0,2021-05-09 19:32:00,2021,5,Sunday,19,,NEW SUDBURY ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212015847,520,,BURGLARY - RESIDENTIAL,A7,33,0,2021-03-12 13:21:00,2021,3,Friday,13,,EVERETT ST,42.3667577854282,-71.0329864595223,"(42.3667577854282, -71.0329864595223)"
212035896,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6, ,0,2021-05-30 20:33:00,2021,5,Sunday,20,,,42.352332985544,-71.0465790317524,"(42.352332985544, -71.0465790317524)"
212025095,1402,,VANDALISM,B2,296,0,2021-04-18 11:00:00,2021,4,Sunday,11,,WARREN ST,42.3222164525887,-71.0820672272945,"(42.3222164525887, -71.0820672272945)"
212017690,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,326,0,2021-03-19 22:05:00,2021,3,Friday,22,,BLUE HILL AVE,0.0,0.0,"(0, 0)"
